Method	GPS	TP	FP	FN	TN	PREC	REC	F1
LAT	50	11.74	0.76	38.26	949.24	0.9392	0.2348	0.37568
LAT	50	16.62	0.54	33.38	949.46	0.9685315	0.3324	0.494937466884305
LAT	50	5.22	0.36	44.78	949.64	0.9354839	0.1044	0.187837352150562
LAT	50	11.72	0.82	38.28	949.18	0.9346093	0.2344	0.374800131906564
LAT	50	16.14	0.52	33.86	949.48	0.9687875	0.3228	0.484248422967859
LAT	50	21.02	0.54	28.98	949.46	0.9749536	0.4204	0.587479035335559
LTT	50	0.02	0.26	49.98	949.74	0.0714286	0.0004	0.000795544950061675
LTT	50	0.06	0.46	49.94	949.54	0.1153846	0.0012	0.00237529690885417
LTT	50	0.1	0.36	49.9	949.64	0.2173913	0.002	0.00396353547291985
LTT	50	0.22	0.36	49.78	949.64	0.3793103	0.0044	0.00869909053783545
LTT	50	0.1	0.3	49.9	949.7	0.25	0.002	0.00396825396825397
LTT	50	0.44	0.4	49.56	949.6	0.5238095	0.0088	0.0173092053371185
LTT	50	1.18	0.32	48.82	949.68	0.7866667	0.0236	0.0458252427750023
LTT	50	3.48	0.74	46.52	949.26	0.8246445	0.0696	0.128365916033031
LTT	50	0.66	0.32	49.34	949.68	0.6734694	0.0132	0.0258925068744872
LTT	50	2.02	0.46	47.98	949.54	0.8145161	0.0404	0.076981707187407
LTT	50	6.82	0.88	43.18	949.12	0.8857143	0.1364	0.236395147822509
LTT	50	13.88	1.22	36.12	948.78	0.9192053	0.2776	0.4264208911508
LTT	50	2.42	0.42	47.58	949.58	0.8521127	0.0484	0.0915972749301592
LTT	50	7.08	0.84	42.92	949.16	0.8939394	0.1416	0.244475138348188
LTT	50	14.9	1.14	35.1	948.86	0.9289277	0.298	0.451241673979648
LTT	50	22.46	1.52	27.54	948.48	0.9366138	0.4492	0.607191123309639
LTT	50	5.58	0.58	44.42	949.42	0.9058442	0.1116	0.19871794978044
LTT	50	13.84	1.28	36.16	948.72	0.9153439	0.2768	0.425061423407023
LTT	50	21.66	1.4	28.34	948.6	0.9392888	0.4332	0.592937309448354
LTT	50	27.6	1.38	22.4	948.62	0.952381	0.552	0.698911129560929
LAW	50	0.06	0.14	49.94	949.86	0.3	0.0012	0.00239043824701195
LAW	50	0.06	0.14	49.94	949.86	0.3	0.0012	0.00239043824701195
LAW	50	0.16	0.1	49.84	949.9	0.6153846	0.0032	0.00636689215994061
LAW	50	0.44	0.16	49.56	949.84	0.7333333	0.0088	0.0173913043384524
LAW	50	0.38	0.1	49.62	949.9	0.7916667	0.0076	0.0150554675179136
LAW	50	1.82	0.62	48.18	949.38	0.7459016	0.0364	0.0694126619196484
LAW	50	4.2	0.9	45.8	949.1	0.8235294	0.084	0.152450090542521
LAW	50	7.22	1.44	42.78	948.56	0.8337182	0.1444	0.246164334903491
LAW	50	2.74	0.48	47.26	949.52	0.8509317	0.0548	0.102968808886782
LAW	50	6.58	1.04	43.42	948.96	0.8635171	0.1316	0.228392920511566
LAW	50	10.86	1.88	39.14	948.12	0.8524333	0.2172	0.346190629555007
LAW	50	15.28	1.5	34.72	948.5	0.9106079	0.3056	0.457622046756973
LAW	50	7.3	1.06	42.7	948.94	0.8732057	0.146	0.250171348531508
LAW	50	12.62	1.86	37.38	948.14	0.871547	0.2524	0.391439209855981
LAW	50	16.8	1.84	33.2	948.16	0.9012876	0.336	0.489510496347009
LAW	50	20.98	1.48	29.02	948.52	0.9341051	0.4196	0.579078116733105
LAW	50	11.86	1.5	38.14	948.5	0.8877246	0.2372	0.37436869123495
LAW	50	16.68	1.76	33.32	948.24	0.9045553	0.3336	0.487434246867093
LAW	50	21.1	1.52	28.9	948.48	0.9328028	0.422	0.581107127325098
LAW	50	24.44	1.68	25.56	948.32	0.9356815	0.4888	0.642143990216791
LAM	50	0.06	0.14	49.94	949.86	0.3	0.0012	0.00239043824701195
LAM	50	0.12	0.08	49.88	949.92	0.6	0.0024	0.0047808764940239
LAM	50	0.22	0.04	49.78	949.96	0.8461538	0.0044	0.00875447671858029
LAM	50	0.6	0.1	49.4	949.9	0.8571429	0.012	0.0236686390695937
LAM	50	0.38	0.1	49.62	949.9	0.7916667	0.0076	0.0150554675179136
LAM	50	2.28	0.2	47.72	949.8	0.9193548	0.0456	0.0868902437295509
LAM	50	4.76	0.34	45.24	949.66	0.9333333	0.0952	0.172776768938837
LAM	50	8.1	0.6	41.9	949.4	0.9310345	0.162	0.275979557827315
LAM	50	2.94	0.28	47.06	949.72	0.9130435	0.0588	0.110484780316995
LAM	50	7.28	0.5	42.72	949.5	0.9357326	0.1456	0.25199030633128
LAM	50	11.94	0.9	38.06	949.1	0.9299065	0.2388	0.380012727233056
LAM	50	16	1.12	34	948.88	0.9345794	0.32	0.476758040184623
LAM	50	7.6	0.8	42.4	949.2	0.9047619	0.152	0.260273972405705
LAM	50	13.84	0.98	36.16	949.02	0.9338731	0.2768	0.427028690205473
LAM	50	17.68	1.2	32.32	948.8	0.9364407	0.3536	0.513356565447896
LAM	50	21.16	1.46	28.84	948.54	0.9354553	0.4232	0.582759560809868
LAM	50	12.24	1.24	37.76	948.76	0.9080119	0.2448	0.385633273077767
LAM	50	17.5	1.2	32.5	948.8	0.9358289	0.35	0.509461429899421
LAM	50	21.4	1.34	28.6	948.66	0.941073	0.428	0.58839703069157
LAM	50	24.68	1.74	25.32	948.26	0.9341408	0.4936	0.645904212977594
ALT	50	0.02	0.08	49.98	949.92	0.2	0.0004	0.000798403193612774
ALT	50	0.02	0.08	49.98	949.92	0.2	0.0004	0.000798403193612774
ALT	50	0.1	0.06	49.9	949.94	0.625	0.002	0.00398724082934609
ALT	50	0.18	0.1	49.82	949.9	0.6428571	0.0036	0.00715990453194806
ALT	50	0.18	0.1	49.82	949.9	0.6428571	0.0036	0.00715990453194806
ALT	50	0.56	0.14	49.44	949.86	0.8	0.0112	0.0220907297830375
ALT	50	1.38	0.24	48.62	949.76	0.8518519	0.0276	0.0534676482932154
ALT	50	2.04	0.4	47.96	949.6	0.8360656	0.0408	0.0778032037749001
ALT	50	0.8	0.12	49.2	949.88	0.8695652	0.016	0.0314218381661791
ALT	50	2.74	0.38	47.26	949.62	0.8782051	0.0548	0.103162650407806
ALT	50	5.42	0.46	44.58	949.54	0.9217687	0.1084	0.193987115081248
ALT	50	9.34	0.48	40.66	949.52	0.9511202	0.1868	0.312270145762418
ALT	50	1.98	0.22	48.02	949.78	0.9	0.0396	0.0758620689655173
ALT	50	5.98	0.56	44.02	949.44	0.9143731	0.1196	0.211531659305257
ALT	50	10.8	0.48	39.2	949.52	0.9574468	0.216	0.352480417177839
ALT	50	16.2	0.46	33.8	949.54	0.972389	0.324	0.486048610409376
ALT	50	4.24	0.38	45.76	949.62	0.9177489	0.0848	0.155254485282464
ALT	50	9.84	0.56	40.16	949.44	0.9461538	0.1968	0.325827811832814
ALT	50	15.72	0.48	34.28	949.52	0.9703704	0.3144	0.474924474847802
ALT	50	19.68	0.32	30.32	949.68	0.984	0.3936	0.562285714285714
ALW	50	0.02	0.12	49.98	949.88	0.1428571	0.0004	0.000797766253819182
ALW	50	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
ALW	50	0.14	0.06	49.86	949.94	0.7	0.0028	0.00557768924302789
ALW	50	0.34	0.18	49.66	949.82	0.6538462	0.0068	0.0134600158450923
ALW	50	0.4	0.16	49.6	949.84	0.7142857	0.008	0.0158227848066215
ALW	50	1.24	0.38	48.76	949.62	0.7654321	0.0248	0.0480433940357523
ALW	50	2.74	0.7	47.26	949.3	0.7965116	0.0548	0.102544909948367
ALW	50	5.62	1.14	44.38	948.86	0.8313609	0.1124	0.19802677809602
ALW	50	1.78	0.38	48.22	949.62	0.8240741	0.0356	0.0682515338312507
ALW	50	5.2	0.72	44.8	949.28	0.8783784	0.104	0.185979971872346
ALW	50	10.26	1.34	39.74	948.66	0.8844828	0.2052	0.333116886051611
ALW	50	13.96	1.36	36.04	948.64	0.9112272	0.2792	0.427434175294382
ALW	50	5.64	0.78	44.36	949.22	0.8785047	0.1128	0.199929103856766
ALW	50	10.58	1.46	39.42	948.54	0.8787375	0.2116	0.341070274112373
ALW	50	15.3	1.56	34.7	948.44	0.9074733	0.306	0.457672747805823
ALW	50	19.82	1.3	30.18	948.7	0.938447	0.3964	0.557367834366036
ALW	50	10.42	1.3	39.58	948.7	0.8890785	0.2084	0.337653921056312
